Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey,Scope_Label,Verification_Provider,Verification_URL,Verification_Confidence,Provenance
HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents,"Jiangweizhi Peng, Yuanxin Liu, Ruida Zhou, Charles Fleming, Zhaoran Wang, Alfredo Garcia, Mingyi Hong",2026,ArXiv,arXiv:2602.16165v1,Policy|Planning|Reward|CreditAssignment|Architecture|AgentTraining,"HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents inserts a LLM planner directly into the RL loop. It studies hierarchical/long-horizon RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on web/navigation environments, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within hierarchical/long-horizon RL on web/navigation environments tasks, as shown in HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents.",LLM_for_RL,arxiv,https://arxiv.org/abs/2602.16165v1,High,papers.csv|pdf_ref|targeted_search
DynaWeb: Model-Based Reinforcement Learning of Web Agents,"Hang Ding, Peidong Liu, Junqiao Wang, Ziwei Ji, Meng Cao, Rongzhao Zhang, Lynn Ai, Eric Yang, Tianyu Shi, Lei Yu",2026,ArXiv,arXiv:2601.22149v1,Policy|WorldModel|DatasetGeneration|Architecture|AgentTraining,"For DynaWeb: Model-Based Reinforcement Learning of Web Agents, an LLM world model/simulator is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as model-based RL, making the LLM function part of control, reward, or planning computations. Experiments on web/navigation environments environments indicate stronger task completion behavior than non-LLM baselines.",The contribution is directionally in-scope: DynaWeb: Model-Based Reinforcement Learning of Web Agents uses a LLM world model/simulator to support RL policy learning and control in web/navigation environments.,LLM_for_RL,arxiv,https://arxiv.org/abs/2601.22149v1,High,papers.csv|pdf_ref|targeted_search
From Passive Metric to Active Signal: The Evolving Role of Uncertainty Quantification in Large Language Models,"Jiaxin Zhang, Wendi Cui, Zhuohang Li, Lifu Huang, Bradley Malin, Caiming Xiong, Chien-Sheng Wu",2026,ArXiv,arXiv:2601.15690v1,Policy|Reward|ToolUse|Reasoning|Verifier|Architecture,"From Passive Metric to Active Signal: The Evolving Role of Uncertainty Quantification in Large Language Models inserts a LLM reward module directly into the RL loop. It studies tool-interactive RL agent training and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on web/tool-interaction environments, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM reward module within tool-interactive RL agent training on web/tool-interaction environments tasks, as shown in From Passive Metric to Active Signal: The Evolving Role of Uncertainty Quantification in Large Language Models. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2601.15690v1,High,papers.csv|pdf_ref|targeted_search
GigaBrain-0.5M*: a VLA That Learns From World Model-Based Reinforcement Learning,"GigaBrain Team, Boyuan Wang, Chaojun Ni, Guan Huang, Guosheng Zhao, Hao Li, Jie Li, Jindi Lv, Jingyu Liu, Lv Feng, Mingming Yu, Peng Li, Qiuping Deng, Tianze Liu, Xinyu Zhou, Xinze Chen, Xiaofeng Wang, Yang Wang, Yifan Li, Yifei Nie, Yilong Li, Yukun Zhou, Yun Ye, Zhichao Liu, Zheng Zhu",2026,ArXiv,arXiv:2602.12099v1,Policy|Planning|WorldModel|Reasoning|Simulation|Verifier|Architecture,"GigaBrain-0.5M*: a VLA That Learns From World Model-Based Reinforcement Learning inserts a LLM planner directly into the RL loop. It studies model-based RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on robotics manipulation/control, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within model-based RL on robotics manipulation/control tasks, as shown in GigaBrain-0.5M*: a VLA That Learns From World Model-Based Reinforcement Learning. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2602.12099v1,High,papers.csv|pdf_ref|targeted_search
MARTI-MARS$^2$: Scaling Multi-Agent Self-Search via Reinforcement Learning for Code Generation,"Shijie Wang, Pengfei Li, Yikun Fu, Kaifeng Liu, Fangyuan Li, Yang Liu, Xiaowei Sun, Zonglin Li, Siyao Zhao, Jian Zhao, Kai Tian, Dong Li, Junqi Gao, Yutong Zhang, Yiqun Chen, Yuqiang Li, Zoe Li, Weinan Zhang, Peng Ye, Shuyue Hu, Lei Bai, Bowen Zhou, Kaiyan Zhang, Biqing Qi",2026,ArXiv,arXiv:2602.07848v1,Policy|Exploration|Reasoning|TreeSearch|Verifier|LanguageConditioning|MultiAgent|Architecture|AgentTraining,"In this work, MARTI-MARS$^2$: Scaling Multi-Agent Self-Search via Reinforcement Learning for Code Generation uses an LLM verifier/critic to shape decisions inside an RL training or deployment cycle. The technical setting is multi-agent RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on multi-agent coordination environments tasks, with improvements in success rate, returns, or sample efficiency.","MARTI-MARS$^2$: Scaling Multi-Agent Self-Search via Reinforcement Learning for Code Generation belongs because the language model is embedded in the RL loop as a LLM verifier/critic, not used only for language-only tuning objectives.",LLM_for_RL,arxiv,https://arxiv.org/abs/2602.07848v1,High,papers.csv|targeted_search
SCRIBE: Structured Mid-Level Supervision for Tool-Using Language Models,"Yuxuan Jiang, Francis Ferraro",2026,arXiv (Cornell University),arXiv:2601.03555,Policy|Planning|Reward|CreditAssignment|Reasoning|Architecture,"SCRIBE: Structured Mid-Level Supervision for Tool-Using Language Models inserts a LLM planner directly into the RL loop. It studies hierarchical/long-horizon RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on interactive control benchmarks, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM planner within hierarchical/long-horizon RL on interactive control benchmarks tasks, as shown in SCRIBE: Structured Mid-Level Supervision for Tool-Using Language Models. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2601.03555,High,papers.csv|targeted_search
In-Context Autonomous Network Incident Response: An End-to-End Large Language Model Agent Approach,"Yiran Gao, Kim Hammar, Tao Li",2026,ArXiv,arXiv:2602.13156v1,Policy|Planning|Exploration|ToolUse|Reasoning|Simulation|Architecture,"For In-Context Autonomous Network Incident Response: An End-to-End Large Language Model Agent Approach, an LLM planner is the central mechanism connecting language priors to reinforcement learning updates. The method is framed as planning-augmented RL, making the LLM function part of control, reward, or planning computations. Experiments on MuJoCo/simulator benchmarks environments indicate stronger task completion behavior than non-LLM baselines.","The contribution is directionally in-scope: In-Context Autonomous Network Incident Response: An End-to-End Large Language Model Agent Approach uses a LLM planner to support RL policy learning and control in MuJoCo/simulator benchmarks. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2602.13156v1,High,papers.csv|pdf_ref|targeted_search
"Mock Worlds, Real Skills: Building Small Agentic Language Models with Synthetic Tasks, Simulated Environments, and Rubric-Based Rewards","Yuan-Jay Lü, Chengyu Wang, Lei Shen, Jun Huang, Tong Xu",2026,ArXiv.org,arXiv:2601.22511,Policy|Reward|DatasetGeneration|ToolUse|Simulation|LanguageConditioning|Architecture,"In this work, Mock Worlds, Real Skills: Building Small Agentic Language Models with Synthetic Tasks, Simulated Environments, and Rubric-Based Rewards uses an LLM reward module to shape decisions inside an RL training or deployment cycle. The technical setting is tool-interactive RL agent training, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on MuJoCo/simulator benchmarks tasks, with improvements in success rate, returns, or sample efficiency.","Mock Worlds, Real Skills: Building Small Agentic Language Models with Synthetic Tasks, Simulated Environments, and Rubric-Based Rewards belongs because the language model is embedded in the RL loop as a LLM reward module, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2601.22511,High,papers.csv|targeted_search
Reinforcement Learning via Self-Distillation,"Jonas Hübotter, Frederike Lübeck, Lejs Behric, Anton Baumann, Marco Bagatella, Daniel Marta, Ido Hakimi, Idan Shenfeld, Thomas Kleine Buening, Carlos Guestrin, Andreas Krause",2026,ArXiv,arXiv:2601.20802v2,Policy|Reward|CreditAssignment|ToolUse|Reasoning|Verifier|Architecture,"Reinforcement Learning via Self-Distillation inserts a LLM reward module directly into the RL loop. It studies policy optimization RL and optimizes agent behavior rather than only improving language generation quality. Evaluation is conducted on web/tool-interaction environments, and the reported trend is better decision performance against baseline pipelines.","The LLM improves RL here by acting as a LLM reward module within policy optimization RL on web/tool-interaction environments tasks, as shown in Reinforcement Learning via Self-Distillation. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2601.20802v2,High,papers.csv|pdf_ref|targeted_search
WideSeek-R1: Exploring Width Scaling for Broad Information Seeking via Multi-Agent Reinforcement Learning,"Zelai Xu, Zhexuan Xu, Ruize Zhang, Chunyang Zhu, Shi Yu, Weilin Liu, Quanlu Zhang, Wenbo Ding, Chao Yu, Yu Wang",2026,ArXiv,arXiv:2602.04634v2,Policy|Planning|CreditAssignment|Exploration|DatasetGeneration|ToolUse|Reasoning|MultiAgent|Architecture,"In this work, WideSeek-R1: Exploring Width Scaling for Broad Information Seeking via Multi-Agent Reinforcement Learning uses an LLM planner to shape decisions inside an RL training or deployment cycle. The technical setting is multi-agent RL, where the LLM component provides guidance for policy updates or trajectory selection. Results are reported on web/tool-interaction environments tasks, with improvements in success rate, returns, or sample efficiency.","WideSeek-R1: Exploring Width Scaling for Broad Information Seeking via Multi-Agent Reinforcement Learning belongs because the language model is embedded in the RL loop as a LLM planner, not used only for language-only tuning objectives. It is marked mixed because ancillary objectives exist, but the main empirical gains are RL-agent improvements.",Mixed_but_relevant,arxiv,https://arxiv.org/abs/2602.04634v2,High,papers.csv|targeted_search
